
> reprolab-frontend@0.1.0 dev
> next dev

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3002
- Network:       http://10.241.76.211:3002
✓ Ready in 637ms

 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 99ms (next.js: 51ms, proxy.ts: 14ms, application-code: 35ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 112ms (next.js: 62ms, proxy.ts: 13ms, application-code: 37ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 114ms (next.js: 76ms, proxy.ts: 11ms, application-code: 28ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 64ms (next.js: 45ms, proxy.ts: 6ms, application-code: 13ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 66ms (next.js: 51ms, proxy.ts: 6ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 20ms (next.js: 9ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 23ms (next.js: 11ms, proxy.ts: 3ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 13ms (next.js: 4ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 23ms (next.js: 11ms, proxy.ts: 4ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 24ms (next.js: 11ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 17ms (next.js: 4ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 45ms (next.js: 13ms, proxy.ts: 5ms, application-code: 28ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 51ms (next.js: 34ms, proxy.ts: 5ms, application-code: 12ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 52ms (next.js: 23ms, proxy.ts: 5ms, application-code: 25ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 29ms (next.js: 11ms, proxy.ts: 10ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 13ms (next.js: 4ms, proxy.ts: 2ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 20ms (next.js: 11ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 22ms (next.js: 11ms, proxy.ts: 5ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 17ms (next.js: 4ms, proxy.ts: 4ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 23ms (next.js: 9ms, proxy.ts: 4ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 25ms (next.js: 10ms, proxy.ts: 4ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 15ms (next.js: 3ms, proxy.ts: 3ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/clusters 200 in 41ms (next.js: 10ms, proxy.ts: 4ms, application-code: 27ms)
 GET /api/demo/runs/prj_09047604e591d969/leaf-scores 404 in 48ms (next.js: 17ms, proxy.ts: 4ms, application-code: 26ms)
 GET /api/demo/runs/prj_09047604e591d969/repair-iterations 200 in 50ms (next.js: 27ms, proxy.ts: 4ms, application-code: 18ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 24ms (next.js: 11ms, proxy.ts: 5ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 17ms (next.js: 7ms, proxy.ts: 2ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 14ms (next.js: 4ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 14ms (next.js: 4ms, proxy.ts: 3ms, application-code: 6ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 27ms (next.js: 15ms, proxy.ts: 3ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 12ms (next.js: 3ms, proxy.ts: 2ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 20ms (next.js: 10ms, proxy.ts: 2ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 22ms (next.js: 10ms, proxy.ts: 2ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 14ms (next.js: 3ms, proxy.ts: 2ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 20ms (next.js: 9ms, proxy.ts: 2ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 12ms (next.js: 3ms, proxy.ts: 2ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 17ms (next.js: 7ms, proxy.ts: 2ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 29ms (next.js: 14ms, proxy.ts: 5ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 10ms (next.js: 3ms, proxy.ts: 2ms, application-code: 5ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 23ms (next.js: 11ms, proxy.ts: 2ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 18ms (next.js: 5ms, proxy.ts: 4ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 21ms (next.js: 9ms, proxy.ts: 3ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 19ms (next.js: 8ms, proxy.ts: 2ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 19ms (next.js: 7ms, proxy.ts: 1985µs, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 20ms (next.js: 10ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 23ms (next.js: 11ms, proxy.ts: 4ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 17ms (next.js: 9ms, proxy.ts: 3ms, application-code: 6ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 26ms (next.js: 12ms, proxy.ts: 4ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 27ms (next.js: 16ms, proxy.ts: 4ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 22ms (next.js: 12ms, proxy.ts: 2ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 25ms (next.js: 11ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 26ms (next.js: 15ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 21ms (next.js: 11ms, proxy.ts: 2ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 18ms (next.js: 8ms, proxy.ts: 1944µs, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 10ms (next.js: 3ms, proxy.ts: 2ms, application-code: 5ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 21ms (next.js: 10ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 23ms (next.js: 11ms, proxy.ts: 4ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 25ms (next.js: 14ms, proxy.ts: 4ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 22ms (next.js: 10ms, proxy.ts: 3ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 19ms (next.js: 9ms, proxy.ts: 2ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 20ms (next.js: 10ms, proxy.ts: 2ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 14ms (next.js: 4ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 23ms (next.js: 10ms, proxy.ts: 2ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 16ms (next.js: 4ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 21ms (next.js: 10ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 17ms (next.js: 9ms, proxy.ts: 2ms, application-code: 5ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 16ms (next.js: 4ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 24ms (next.js: 10ms, proxy.ts: 3ms, application-code: 11ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 14ms (next.js: 4ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 22ms (next.js: 11ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/runpod-status 200 in 16ms (next.js: 7ms, proxy.ts: 3ms, application-code: 6ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 18ms (next.js: 9ms, proxy.ts: 2ms, application-code: 6ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 14ms (next.js: 3ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 19ms (next.js: 9ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 23ms (next.js: 10ms, proxy.ts: 3ms, application-code: 10ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 17ms (next.js: 4ms, proxy.ts: 4ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 22ms (next.js: 10ms, proxy.ts: 3ms, application-code: 8ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 21ms (next.js: 11ms, proxy.ts: 3ms, application-code: 7ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 23ms (next.js: 10ms, proxy.ts: 3ms, application-code: 9ms)
 GET /api/demo/runs/prj_09047604e591d969/reports 200 in 22ms (next.js: 7ms, proxy.ts: 2ms, application-code: 12ms)
